exp_name;algorithm;env_name;ep_len;num_agent_train_steps_per_iter;n_iter;batch_size;eval_batch_size;train_batch_size;n_layers;size;learning_rate;max_replay_buffer_size;reward_mean;reward_std;expert_reward
train_steps_per_iter1000_6;bc;antv2;1000;1000;1;1000;200;100;2;64;0.005;1000000;3119.85;0.0;4713.65
train_steps_per_iter1000_5;bc;antv2;872;1000;1;1000;200;100;2;64;0.005;1000000;2398.69;0.0;4713.65
train_steps_per_iter1000_3;bc;antv2;1000;1000;1;1000;200;100;2;64;0.005;1000000;1340.31;0.0;4713.65
train_steps_per_iter1000_2;bc;antv2;1000;1000;1;1000;200;100;2;64;0.005;1000000;2397.58;0.0;4713.65
train_steps_per_iter1000_1;bc;antv2;287;1000;1;1000;200;100;2;64;0.005;1000000;836.97;722.73;4713.65
train_steps_per_iter1000_8;bc;antv2;1000;1000;1;1000;200;100;2;64;0.005;1000000;369.5;0.0;4713.65
train_steps_per_iter1000_10;bc;antv2;1000;1000;1;1000;200;100;2;64;0.005;1000000;2159.18;0.0;4713.65
train_steps_per_iter1000_9;bc;antv2;671;1000;1;1000;200;100;2;64;0.005;1000000;1684.43;0.0;4713.65
train_steps_per_iter1000_4;bc;antv2;311;1000;1;1000;200;100;2;64;0.005;1000000;1026.69;0.0;4713.65
train_steps_per_iter1000_7;bc;antv2;391;1000;1;1000;200;100;2;64;0.005;1000000;1011.71;1047.13;4713.65
train_steps_per_iter2000_8;bc;antv2;1000;2000;1;1000;200;100;2;64;0.005;1000000;1015.06;0.0;4713.65
train_steps_per_iter2000_4;bc;antv2;1000;2000;1;1000;200;100;2;64;0.005;1000000;3844.05;0.0;4713.65
train_steps_per_iter2000_2;bc;antv2;1000;2000;1;1000;200;100;2;64;0.005;1000000;3994.63;0.0;4713.65
train_steps_per_iter2000_7;bc;antv2;1000;2000;1;1000;200;100;2;64;0.005;1000000;3801.01;0.0;4713.65
train_steps_per_iter2000_1;bc;antv2;1000;2000;1;1000;200;100;2;64;0.005;1000000;4047.26;0.0;4713.65
train_steps_per_iter2000_10;bc;antv2;1000;2000;1;1000;200;100;2;64;0.005;1000000;4197.17;0.0;4713.65
train_steps_per_iter2000_3;bc;antv2;850;2000;1;1000;200;100;2;64;0.005;1000000;3270.26;0.0;4713.65
train_steps_per_iter2000_9;bc;antv2;1000;2000;1;1000;200;100;2;64;0.005;1000000;4214.15;0.0;4713.65
train_steps_per_iter2000_6;bc;antv2;1000;2000;1;1000;200;100;2;64;0.005;1000000;4174.72;0.0;4713.65
train_steps_per_iter2000_5;bc;antv2;1000;2000;1;1000;200;100;2;64;0.005;1000000;4272.31;0.0;4713.65
train_steps_per_iter3000_9;bc;antv2;1000;3000;1;1000;200;100;2;64;0.005;1000000;4205.24;0.0;4713.65
train_steps_per_iter3000_5;bc;antv2;1000;3000;1;1000;200;100;2;64;0.005;1000000;4715.69;0.0;4713.65
train_steps_per_iter3000_2;bc;antv2;1000;3000;1;1000;200;100;2;64;0.005;1000000;4417.1;0.0;4713.65
train_steps_per_iter3000_6;bc;antv2;1000;3000;1;1000;200;100;2;64;0.005;1000000;4531.91;0.0;4713.65
train_steps_per_iter3000_10;bc;antv2;1000;3000;1;1000;200;100;2;64;0.005;1000000;4526.05;0.0;4713.65
train_steps_per_iter3000_8;bc;antv2;1000;3000;1;1000;200;100;2;64;0.005;1000000;4624.24;0.0;4713.65
train_steps_per_iter3000_7;bc;antv2;1000;3000;1;1000;200;100;2;64;0.005;1000000;4282.65;0.0;4713.65
train_steps_per_iter3000_1;bc;antv2;1000;3000;1;1000;200;100;2;64;0.005;1000000;4458.69;0.0;4713.65
train_steps_per_iter3000_4;bc;antv2;1000;3000;1;1000;200;100;2;64;0.005;1000000;4527.94;0.0;4713.65
train_steps_per_iter3000_3;bc;antv2;708;3000;1;1000;200;100;2;64;0.005;1000000;3089.62;0.0;4713.65
